team,hero,win_rate,tier,result,Offense,Durability,Difficulty,Crowd_Control,Rank
RRQ,Kalea,47.96,B,win,Medium,Medium,Medium,Medium,C
TLID,Phoveus,51.11,B,lose,Medium,High,Medium,Medium,B
TLID,X.Borg,49.94,A,lose,Medium,Medium,Medium,Medium,C
TLID,Pharsa,48.95,C,lose,High,Low,Medium,Medium,B
TLID,Harith,47.1,D,lose,High,Low,High,Low,C
TLID,Mathilda,46.13,D,lose,Medium,Medium,Medium,Medium,C
BTR,Uranus,50.52,C,win,Low,High,Low,Low,C
BTR,Lancelot,47.15,SS,win,High,Low,High,Low,S
BTR,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
BTR,Moskov,50.81,C,win,Medium,Medium,Medium,Medium,C
BTR,Hylos,46.92,D,win,Low,High,Low,High,C
EVOS,Lapu-Lapu,50.62,A,lose,High,Medium,Medium,Medium,B
EVOS,Baxia,50.27,C,lose,Low,High,Medium,High,B
EVOS,Valentina,44.61,D,lose,High,Low,High,Low,D
EVOS,Claude,46.95,D,lose,High,Low,High,Low,C
EVOS,Helcurt,51.44,A,lose,High,Low,Medium,Medium,A
BTR,Arlott,48.03,A,win,Medium,High,Medium,High,A
BTR,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
BTR,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
BTR,Chou,44.18,D,win,Medium,Medium,High,High,D
BTR,Hylos,46.92,D,win,Low,High,Low,High,C
EVOS,Lapu-Lapu,50.62,A,lose,High,Medium,Medium,Medium,B
EVOS,Fredrinn,53.23,S,lose,Medium,High,Medium,Medium,A
EVOS,Kadita,52.81,B,lose,Medium,Medium,Medium,Medium,C
EVOS,Wanwan,49.53,C,lose,Medium,Medium,Medium,Medium,C
EVOS,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
BTR,Hilda,52.86,S,win,Medium,Medium,Medium,Medium,C
BTR,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
BTR,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
BTR,Harith,47.1,D,win,High,Low,High,Low,C
BTR,Baxia,50.27,C,win,Low,High,Medium,High,B
EVOS,Uranus,50.52,C,lose,Low,High,Low,Low,C
EVOS,Lancelot,47.15,SS,lose,High,Low,High,Low,S
EVOS,Valentina,44.61,D,lose,High,Low,High,Low,D
EVOS,Claude,46.95,D,lose,High,Low,High,Low,C
EVOS,Gloo,54.08,SS,lose,Medium,High,Medium,High,S
NAVI,Lapu-Lapu,50.62,A,lose,High,Medium,Medium,Medium,B
NAVI,Lancelot,47.15,SS,lose,High,Low,High,Low,S
NAVI,Kimmy,52.06,B,lose,High,Low,Medium,Low,A
NAVI,Harith,47.1,D,lose,High,Low,High,Low,C
NAVI,Hylos,46.92,D,lose,Low,High,Low,High,C
RRQ,Cici,53.74,SS,win,High,Medium,Medium,High,S
RRQ,Hayabusa,51.17,SS,win,High,Low,High,Low,S
RRQ,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
RRQ,Moskov,50.81,C,win,Medium,Medium,Medium,Medium,C
RRQ,Gatotkaca,50.54,C,win,Medium,High,Low,High,C
NAVI,Cici,53.74,SS,lose,High,Medium,Medium,High,S
NAVI,Joy,50.01,B,lose,High,Medium,High,Low,S
NAVI,Selena,44.99,D,lose,Medium,Medium,Medium,Medium,C
NAVI,Granger,46.27,A,lose,High,Medium,Medium,Low,A
NAVI,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
RRQ,Arlott,48.03,A,win,Medium,High,Medium,High,A
RRQ,Lancelot,47.15,SS,win,High,Low,High,Low,S
RRQ,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
RRQ,Harith,47.1,D,win,High,Low,High,Low,C
RRQ,Tigreal,43.73,C,win,Medium,Medium,Medium,Medium,C
EVOS,Cici,53.74,SS,win,High,Medium,Medium,High,S
EVOS,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
EVOS,Valentina,44.61,D,win,High,Low,High,Low,D
EVOS,Granger,46.27,A,win,High,Medium,Medium,Low,A
EVOS,Kalea,47.96,B,win,Medium,Medium,Medium,Medium,C
TLID,Paquito,45.19,D,lose,Medium,Medium,Medium,Medium,C
TLID,Joy,50.01,B,lose,High,Medium,High,Low,S
TLID,Pharsa,48.95,C,lose,High,Low,Medium,Medium,B
TLID,Harith,47.1,D,lose,High,Low,High,Low,C
TLID,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
EVOS,Lapu-Lapu,50.62,A,win,High,Medium,Medium,Medium,B
EVOS,Hayabusa,51.17,SS,win,High,Low,High,Low,S
EVOS,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
EVOS,Harith,47.1,D,win,High,Low,High,Low,C
EVOS,Baxia,50.27,C,win,Low,High,Medium,High,B
TLID,Gloo,54.08,SS,lose,Medium,High,Medium,High,S
TLID,Yi Sun-shin,49.98,SS,lose,High,Medium,High,Medium,S
TLID,Selena,44.99,D,lose,Medium,Medium,Medium,Medium,C
TLID,Claude,46.95,D,lose,High,Low,High,Low,C
TLID,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
EVOS,Uranus,50.52,C,win,Low,High,Low,Low,C
EVOS,Hayabusa,51.17,SS,win,High,Low,High,Low,S
EVOS,Yve,53.65,C,win,High,Low,Medium,High,A
EVOS,Beatrix,48.52,D,win,Medium,Medium,Medium,Medium,C
EVOS,Kalea,47.96,B,win,Medium,Medium,Medium,Medium,C
GEEK,Hilda,52.86,S,lose,Medium,Medium,Medium,Medium,C
GEEK,Baxia,50.27,C,lose,Low,High,Medium,High,B
GEEK,Zhuxin,50.23,B,lose,Medium,Medium,High,Medium,B
GEEK,Moskov,50.81,C,lose,Medium,Medium,Medium,Medium,C
GEEK,Hylos,46.92,D,lose,Low,High,Low,High,C
EVOS,Arlott,48.03,A,win,Medium,High,Medium,High,A
EVOS,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
EVOS,Zhuxin,50.23,B,win,Medium,Medium,High,Medium,B
EVOS,Granger,46.27,A,win,High,Medium,Medium,Low,A
EVOS,Baxia,50.27,C,win,Low,High,Medium,High,B
GEEK,Phoveus,51.11,B,lose,Medium,High,Medium,Medium,B
GEEK,Joy,50.01,B,lose,High,Medium,High,Low,S
GEEK,Pharsa,48.95,C,lose,High,Low,Medium,Medium,B
GEEK,Sun,52.69,B,lose,Medium,Medium,Medium,Medium,C
GEEK,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
BTR,Arlott,48.03,A,win,Medium,High,Medium,High,A
BTR,Lancelot,47.15,SS,win,High,Low,High,Low,S
BTR,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
BTR,Moskov,50.81,C,win,Medium,Medium,Medium,Medium,C
BTR,Grock,49.34,SS,win,Medium,Medium,Medium,Medium,C
AE,Uranus,50.52,C,lose,Low,High,Low,Low,C
AE,Yi Sun-shin,49.98,SS,lose,High,Medium,High,Medium,S
AE,Kagura,50.03,C,lose,Medium,Medium,Medium,Medium,C
AE,Hanabi,50.09,C,lose,Medium,Medium,Medium,Medium,C
AE,Hilda,52.86,S,lose,Medium,Medium,Medium,Medium,C
BTR,Hilda,52.86,S,win,Medium,Medium,Medium,Medium,C
BTR,Lancelot,47.15,SS,win,High,Low,High,Low,S
BTR,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
BTR,Harith,47.1,D,win,High,Low,High,Low,C
BTR,Chou,44.18,D,win,Medium,Medium,High,High,D
AE,Arlott,48.03,A,lose,Medium,High,Medium,High,A
AE,Yi Sun-shin,49.98,SS,lose,High,Medium,High,Medium,S
AE,Luo Yi,47.06,D,lose,Medium,Medium,Medium,Medium,C
AE,Granger,46.27,A,lose,High,Medium,Medium,Low,A
AE,Hylos,46.92,D,lose,Low,High,Low,High,C
BTR,Chou,44.18,D,win,Medium,Medium,High,High,D
BTR,Joy,50.01,B,win,High,Medium,High,Low,S
BTR,Zhuxin,50.23,B,win,Medium,Medium,High,Medium,B
BTR,Claude,46.95,D,win,High,Low,High,Low,C
BTR,Gatotkaca,50.54,C,win,Medium,High,Low,High,C
AE,Uranus,50.52,C,lose,Low,High,Low,Low,C
AE,Lancelot,47.15,SS,lose,High,Low,High,Low,S
AE,Yve,53.65,C,lose,High,Low,Medium,High,A
AE,Granger,46.27,A,lose,High,Medium,Medium,Low,A
AE,Grock,49.34,SS,lose,Medium,Medium,Medium,Medium,C
RRQ,Uranus,50.52,C,lose,Low,High,Low,Low,C
RRQ,Fanny,42.7,B,lose,High,Low,High,Low,D
RRQ,Pharsa,48.95,C,lose,High,Low,Medium,Medium,B
RRQ,Natan,52.23,A,lose,Medium,Medium,Medium,Medium,C
RRQ,Grock,49.34,SS,lose,Medium,Medium,Medium,Medium,C
ONIC,Arlott,48.03,A,win,Medium,High,Medium,High,A
ONIC,Lancelot,47.15,SS,win,High,Low,High,Low,S
ONIC,Zhuxin,50.23,B,win,Medium,Medium,High,Medium,B
ONIC,Harith,47.1,D,win,High,Low,High,Low,C
ONIC,Hylos,46.92,D,win,Low,High,Low,High,C
RRQ,Gloo,54.08,SS,lose,Medium,High,Medium,High,S
RRQ,Hayabusa,51.17,SS,lose,High,Low,High,Low,S
RRQ,Yve,53.65,C,lose,High,Low,Medium,High,A
RRQ,Moskov,50.81,C,lose,Medium,Medium,Medium,Medium,C
RRQ,Kalea,47.96,B,lose,Medium,Medium,Medium,Medium,C
ONIC,Phoveus,51.11,B,win,Medium,High,Medium,Medium,B
ONIC,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
ONIC,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
ONIC,Harith,47.1,D,win,High,Low,High,Low,C
ONIC,Gatotkaca,50.54,C,win,Medium,High,Low,High,C
DEWA,Lapu-Lapu,50.62,A,lose,High,Medium,Medium,Medium,B
DEWA,Fanny,42.7,B,lose,High,Low,High,Low,D
DEWA,Selena,44.99,D,lose,Medium,Medium,Medium,Medium,C
DEWA,Harith,47.1,D,lose,High,Low,High,Low,C
DEWA,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
BTR,Phoveus,51.11,B,win,Medium,High,Medium,Medium,B
BTR,Lancelot,47.15,SS,win,High,Low,High,Low,S
BTR,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
BTR,Granger,46.27,A,win,High,Medium,Medium,Low,A
BTR,Grock,49.34,SS,win,Medium,Medium,Medium,Medium,C
DEWA,Terizla,51.03,C,lose,Medium,Medium,Medium,Medium,C
DEWA,Hayabusa,51.17,SS,lose,High,Low,High,Low,S
DEWA,Pharsa,48.95,C,lose,High,Low,Medium,Medium,B
DEWA,Beatrix,48.52,D,lose,Medium,Medium,Medium,Medium,C
DEWA,Kalea,47.96,B,lose,Medium,Medium,Medium,Medium,C
BTR,Lapu-Lapu,50.62,A,win,High,Medium,Medium,Medium,B
BTR,Joy,50.01,B,win,High,Medium,High,Low,S
BTR,Selena,44.99,D,win,Medium,Medium,Medium,Medium,C
BTR,Moskov,50.81,C,win,Medium,Medium,Medium,Medium,C
BTR,Baxia,50.27,C,win,Low,High,Medium,High,B
DEWA,Terizla,51.03,C,lose,Medium,Medium,Medium,Medium,C
DEWA,Baxia,50.27,C,lose,Low,High,Medium,High,B
DEWA,Pharsa,48.95,C,lose,High,Low,Medium,Medium,B
DEWA,Beatrix,48.52,D,lose,Medium,Medium,Medium,Medium,C
DEWA,Kalea,47.96,B,lose,Medium,Medium,Medium,Medium,C
BTR,Phoveus,51.11,B,win,Medium,High,Medium,Medium,B
BTR,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
BTR,Zhuxin,50.23,B,win,Medium,Medium,High,Medium,B
BTR,Granger,46.27,A,win,High,Medium,Medium,Low,A
BTR,Hylos,46.92,D,win,Low,High,Low,High,C
AE,Arlott,48.03,A,lose,Medium,High,Medium,High,A
AE,Baxia,50.27,C,lose,Low,High,Medium,High,B
AE,Selena,44.99,D,lose,Medium,Medium,Medium,Medium,C
AE,Harith,47.1,D,lose,High,Low,High,Low,C
AE,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
ONIC,Cici,53.74,SS,win,High,Medium,Medium,High,S
ONIC,Lancelot,47.15,SS,win,High,Low,High,Low,S
ONIC,Yve,53.65,C,win,High,Low,Medium,High,A
ONIC,Granger,46.27,A,win,High,Medium,Medium,Low,A
ONIC,Hylos,46.92,D,win,Low,High,Low,High,C
AE,Uranus,50.52,C,lose,Low,High,Low,Low,C
AE,Yi Sun-shin,49.98,SS,lose,High,Medium,High,Medium,S
AE,Zhuxin,50.23,B,lose,Medium,Medium,High,Medium,B
AE,Bruno,50.05,D,lose,High,Low,Medium,Low,C
AE,Badang,50.07,C,lose,Medium,Medium,Medium,Medium,C
ONIC,Cici,53.74,SS,win,High,Medium,Medium,High,S
ONIC,Hayabusa,51.17,SS,win,High,Low,High,Low,S
ONIC,Luo Yi,47.06,D,win,Medium,Medium,Medium,Medium,C
ONIC,Harith,47.1,D,win,High,Low,High,Low,C
ONIC,Gatotkaca,50.54,C,win,Medium,High,Low,High,C
AE,Cici,53.74,SS,lose,High,Medium,Medium,High,S
AE,Yi Sun-shin,49.98,SS,lose,High,Medium,High,Medium,S
AE,Luo Yi,47.06,D,lose,Medium,Medium,Medium,Medium,C
AE,Claude,46.95,D,lose,High,Low,High,Low,C
AE,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
ONIC,Phoveus,51.11,B,win,Medium,High,Medium,Medium,B
ONIC,Lancelot,47.15,SS,win,High,Low,High,Low,S
ONIC,Zhuxin,50.23,B,win,Medium,Medium,High,Medium,B
ONIC,Harith,47.1,D,win,High,Low,High,Low,C
ONIC,Khaleed,50.8,C,win,High,Medium,Medium,Low,C
TLID,Uranus,50.52,C,lose,Low,High,Low,Low,C
TLID,Yi Sun-shin,49.98,SS,lose,High,Medium,High,Medium,S
TLID,Zetian,48.62,B,lose,Medium,Medium,Medium,Medium,C
TLID,Harith,47.1,D,lose,High,Low,High,Low,C
TLID,Grock,49.34,SS,lose,Medium,Medium,Medium,Medium,C
NAVI,Phoveus,51.11,B,win,Medium,High,Medium,Medium,B
NAVI,Hayabusa,51.17,SS,win,High,Low,High,Low,S
NAVI,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
NAVI,Granger,46.27,A,win,High,Medium,Medium,Low,A
NAVI,Kalea,47.96,B,win,Medium,Medium,Medium,Medium,C
TLID,Uranus,50.52,C,lose,Low,High,Low,Low,C
TLID,Yi Sun-shin,49.98,SS,lose,High,Medium,High,Medium,S
TLID,Kagura,50.03,C,lose,Medium,Medium,Medium,Medium,C
TLID,Karrie,48.18,D,lose,Medium,Medium,Medium,Medium,C
TLID,Kaja,53.32,C,lose,Medium,Medium,Medium,Medium,C
NAVI,Esmeralda,45.4,C,win,Medium,High,High,Medium,D
NAVI,Fredrinn,53.23,S,win,Medium,High,Medium,Medium,A
NAVI,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
NAVI,Granger,46.27,A,win,High,Medium,Medium,Low,A
NAVI,Kalea,47.96,B,win,Medium,Medium,Medium,Medium,C
NAVI,Cici,53.74,SS,lose,High,Medium,Medium,High,S
NAVI,Fredrinn,53.23,S,lose,Medium,High,Medium,Medium,A
NAVI,Pharsa,48.95,C,lose,High,Low,Medium,Medium,B
NAVI,Granger,46.27,A,lose,High,Medium,Medium,Low,A
NAVI,Kalea,47.96,B,lose,Medium,Medium,Medium,Medium,C
ONIC,Arlott,48.03,A,win,Medium,High,Medium,High,A
ONIC,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
ONIC,Zhuxin,50.23,B,win,Medium,Medium,High,Medium,B
ONIC,Claude,46.95,D,win,High,Low,High,Low,C
ONIC,Grock,49.34,SS,win,Medium,Medium,Medium,Medium,C
NAVI,Arlott,48.03,A,lose,Medium,High,Medium,High,A
NAVI,Hayabusa,51.17,SS,lose,High,Low,High,Low,S
NAVI,Zhuxin,50.23,B,lose,Medium,Medium,High,Medium,B
NAVI,Bruno,50.05,D,lose,High,Low,Medium,Low,C
NAVI,Khaleed,50.8,C,lose,High,Medium,Medium,Low,C
ONIC,Lapu-Lapu,50.62,A,win,High,Medium,Medium,Medium,B
ONIC,Lancelot,47.15,SS,win,High,Low,High,Low,S
ONIC,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
ONIC,Granger,46.27,A,win,High,Medium,Medium,Low,A
ONIC,Gatotkaca,50.54,C,win,Medium,High,Low,High,C
NAVI,Arlott,48.03,A,lose,Medium,High,Medium,High,A
NAVI,Yi Sun-shin,49.98,SS,lose,High,Medium,High,Medium,S
NAVI,Pharsa,48.95,C,lose,High,Low,Medium,Medium,B
NAVI,Ruby,53.1,B,lose,Medium,High,Medium,High,B
NAVI,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
ONIC,Cici,53.74,SS,win,High,Medium,Medium,High,S
ONIC,Lancelot,47.15,SS,win,High,Low,High,Low,S
ONIC,Kagura,50.03,C,win,Medium,Medium,Medium,Medium,C
ONIC,Granger,46.27,A,win,High,Medium,Medium,Low,A
ONIC,Kalea,47.96,B,win,Medium,Medium,Medium,Medium,C
EVOS,Uranus,50.52,C,win,Low,High,Low,Low,C
EVOS,Hayabusa,51.17,SS,win,High,Low,High,Low,S
EVOS,Pharsa,48.95,C,win,High,Low,Medium,Medium,B
EVOS,Claude,46.95,D,win,High,Low,High,Low,C
EVOS,Chip,47.95,C,win,Medium,Medium,Medium,Medium,C
DEWA,Cici,53.74,SS,lose,High,Medium,Medium,High,S
DEWA,Joy,50.01,B,lose,High,Medium,High,Low,S
DEWA,Kagura,50.03,C,lose,Medium,Medium,Medium,Medium,C
DEWA,Granger,46.27,A,lose,High,Medium,Medium,Low,A
DEWA,Kalea,47.96,B,lose,Medium,Medium,Medium,Medium,C
EVOS,Uranus,50.52,C,win,Low,High,Low,Low,C
EVOS,Lancelot,47.15,SS,win,High,Low,High,Low,S
EVOS,Zhuxin,50.23,B,win,Medium,Medium,High,Medium,B
EVOS,Granger,46.27,A,win,High,Medium,Medium,Low,A
EVOS,Gatotkaca,50.54,C,win,Medium,High,Low,High,C
DEWA,Ruby,53.1,B,lose,Medium,High,Medium,High,B
DEWA,Baxia,50.27,C,lose,Low,High,Medium,High,B
DEWA,Kimmy,52.06,B,lose,High,Low,Medium,Low,A
DEWA,Bruno,50.05,D,lose,High,Low,Medium,Low,C
DEWA,Franco,46.36,A,lose,Low,High,Medium,High,A
TLID,Lapu-Lapu,50.62,A,lose,High,Medium,Medium,Medium,B
TLID,Fredrinn,53.23,S,lose,Medium,High,Medium,Medium,A
TLID,Kimmy,52.06,B,lose,High,Low,Medium,Low,A
TLID,Harith,47.1,D,lose,High,Low,High,Low,C
TLID,Kalea,47.96,B,lose,Medium,Medium,Medium,Medium,C
BTR,Cici,53.74,SS,win,High,Medium,Medium,High,S
BTR,Guinevere,50.4,B,win,High,Medium,High,High,B
BTR,Kagura,50.03,C,win,Medium,Medium,Medium,Medium,C
BTR,Granger,46.27,A,win,High,Medium,Medium,Low,A
BTR,Gatotkaca,50.54,C,win,Medium,High,Low,High,C
TLID,Arlott,48.03,A,lose,Medium,High,Medium,High,A
TLID,Fredrinn,53.23,S,lose,Medium,High,Medium,Medium,A
TLID,Pharsa,48.95,C,lose,High,Low,Medium,Medium,B
TLID,Granger,46.27,A,lose,High,Medium,Medium,Low,A
TLID,Kalea,47.96,B,lose,Medium,Medium,Medium,Medium,C
BTR,Lapu-Lapu,50.62,A,win,High,Medium,Medium,Medium,B
BTR,Baxia,50.27,C,win,Low,High,Medium,High,B
BTR,Kagura,50.03,C,win,Medium,Medium,Medium,Medium,C
BTR,Harith,47.1,D,win,High,Low,High,Low,C
BTR,Badang,50.07,C,win,Medium,Medium,Medium,Medium,C
RRQ,Lapu-Lapu,50.62,A,win,High,Medium,Medium,Medium,B
RRQ,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
RRQ,Selena,44.99,D,win,Medium,Medium,Medium,Medium,C
RRQ,Granger,46.27,A,win,High,Medium,Medium,Low,A
RRQ,Gatotkaca,50.54,C,win,Medium,High,Low,High,C
EVOS,Cici,53.74,SS,lose,High,Medium,Medium,High,S
EVOS,Lancelot,47.15,SS,lose,High,Low,High,Low,S
EVOS,Zhuxin,50.23,B,lose,Medium,Medium,High,Medium,B
EVOS,Claude,46.95,D,lose,High,Low,High,Low,C
EVOS,Chip,47.95,C,lose,Medium,Medium,Medium,Medium,C
RRQ,Phoveus,51.11,B,win,Medium,High,Medium,Medium,B
RRQ,Hayabusa,51.17,SS,win,High,Low,High,Low,S
RRQ,Selena,44.99,D,win,Medium,Medium,Medium,Medium,C
RRQ,Granger,46.27,A,win,High,Medium,Medium,Low,A
RRQ,Gatotkaca,50.54,C,win,Medium,High,Low,High,C
EVOS,Cici,53.74,SS,lose,High,Medium,Medium,High,S
EVOS,Lancelot,47.15,SS,lose,High,Low,High,Low,S
EVOS,Zhuxin,50.23,B,lose,Medium,Medium,High,Medium,B
EVOS,Claude,46.95,D,lose,High,Low,High,Low,C
EVOS,Kalea,47.96,B,lose,Medium,Medium,Medium,Medium,C
GEEK,Uranus,50.52,C,lose,Low,High,Low,Low,C
GEEK,Fanny,42.7,B,lose,High,Low,High,Low,D
GEEK,Kimmy,52.06,B,lose,High,Low,Medium,Low,A
GEEK,Bruno,50.05,D,lose,High,Low,Medium,Low,C
GEEK,Grock,49.34,SS,lose,Medium,Medium,Medium,Medium,C
AE,Ruby,53.1,B,win,Medium,High,Medium,High,B
AE,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
AE,Kagura,50.03,C,win,Medium,Medium,Medium,Medium,C
AE,Harith,47.1,D,win,High,Low,High,Low,C
AE,Kalea,47.96,B,win,Medium,Medium,Medium,Medium,C
GEEK,Cici,53.74,SS,lose,High,Medium,Medium,High,S
GEEK,Lancelot,47.15,SS,lose,High,Low,High,Low,S
GEEK,Valentina,44.61,D,lose,High,Low,High,Low,D
GEEK,Bruno,50.05,D,lose,High,Low,Medium,Low,C
GEEK,Gatotkaca,50.54,C,lose,Medium,High,Low,High,C
AE,Phoveus,51.11,B,win,Medium,High,Medium,Medium,B
AE,Yi Sun-shin,49.98,SS,win,High,Medium,High,Medium,S
AE,Zhuxin,50.23,B,win,Medium,Medium,High,Medium,B
AE,Harith,47.1,D,win,High,Low,High,Low,C
AE,Badang,50.07,C,win,Medium,Medium,Medium,Medium,C
ONIC,Lapu-Lapu,50.62,A,win,High,Medium,Medium,Medium,B
ONIC,Hayabusa,51.17,SS,win,High,Low,High,Low,S
ONIC,Luo Yi,47.06,D,win,Medium,Medium,Medium,Medium,C
ONIC,Harith,47.1,D,win,High,Low,High,Low,C
ONIC,Hylos,46.92,D,win,Low,High,Low,High,C
TLID,Phoveus,51.11,B,lose,Medium,High,Medium,Medium,B
